List of TASE Companies,,,,,,,,,,,
As of 20/02/2026
Name,TASE Sector,Issuer No.,Corporate No.,Incorporation,Website,Market Cap (K ILS),Full Name,Address,Phone,Fax,E-Mail
COPPERLINE,Real-Real-Estate & Construction-Investment-Proerties Abroad,1648,1865427,Virgin Islands (UK),www.copperlinepartners.com                        ,0,COPPERLINE AMERICAS LIMITED,,03-6111000,03-6133355,lalfano@copperlinepartners.com
CREDITO IPOS,Financial Instruments-Financial Instrument-Structured Bonds,2425,516804499,Israel,www.credito.co.il,0,CREDITO IPOS LTD,,050-4099997,,hadar.cohen@credito.co.il
DALIA ENERGY,Real-Energy And Oil & Gas Exploration-Energy,1840,516269248,Israel,www.dalia-power.co.il/en                          ,0,DALIA ENERGY COMPANIES LTD,,074-7171300,074-7171308,yael@dpe.co.il
DAN HOTELS,Real-Commerce & Services-Hotels & Tourism,822,520023573,Israel,www.danhotels.com                                 ,4161568,DAN HOTELS  LTD.,,03-5203980,03-5204065,finance@danhotels.com
DANEL,Real-Commerce & Services-Services,314,520037565,Israel,www.edanel.co.il/about                            ,2694559,DANEL (ADIR YEOSHUA) LTD.,,03-7564032,03-7564031,ilanov@edanel.co.il
DANIEL DEPOSITS,Financial Instruments-Financial Instrument-Structured Bonds,2496,517122495,Israel,,0,DANIEL DEPOSITS LTD,,03-6931999,,tamar@rosairo-capital.co.il
DANYA CEBUS,Real-Real-Estate & Construction-Construction,1096,512569237,Israel,www.danya-cebus.co.il/en                          ,5785633,DANYA CEBUS LTD.,,03-5383838,03-6340340,mayas@d-c.co.il
DELEK AUTOMOTIV,Real-Commerce & Services-Commerce,829,520033291,Israel,,1993826,DELEK AUTOMOTIVE SYSTEMS LTD.,,08-9139804,08-9139946,r.bachar@delekmotors.co.il
DELEK GROUP,Real-Energy And Oil & Gas Exploration-Oil & Gas Exploration,1095,520044322,Israel,www.delek-group.com                               ,18580753,DELEK GROUP LTD.,,09-8638444,09-8854955,leorapl@delek-group.com
DELEK ISRAEL PR,Real-Real-Estate & Construction-Investment-Proerties In Israel,2387,516378643,Israel,delek-prop.co.il,874218,DELEK ISRAEL PROPERTIES (D.P.) LTD,,09-8638111,,yossif@delek.co.il
DELTA BRANDS,Real-Commerce & Services-Retail,1858,516250107,Israel,www.delta-israel.com/en                           ,2872881,DELTA ISRAEL BRANDS LTD,,076-8177229,076-8177280,tal.peretz@deltagalil.com
DELTA GALIL,Real-Industry-Fashion & Clothing,627,520025602,Israel,www.deltagalil.com                                ,4275350,DELTA-GALIL INDUSTRIES LTD.,,076-8177064,076-8177280,yaniv.benedek@deltagalil.com
DESTINY REAL ES,Real-Real-Estate & Construction-Investment-Proerties In Israel,2477,511794927,Israel,,0,DESTINY REAL ESTATE LTD,,050-2757461,,sivanj@giron.co.il
DIMRI,Real-Real-Estate & Construction-Construction,1193,511399388,Israel,www.yhdimri.com                                   ,10130765,Y.H.DIMRI CONTRUCTION & DEVELOPMENT LTD,,08-9939000,08-9944437,aviv@dimri.co.il
DIPLOMAT HOLDI.,Real-Commerce & Services-Commerce,1867,510400740,Israel,www.diplomat-global.com                           ,1441488,DIPLOMAT HOLDINGS LTD,,03-9766851,03-9766751,zvika@diplomat-global.com
DIRECT FINANCE,Finance-Financial Services-Non Banking Credit,1675,513893123,Israel,bit.ly/5555_investors,1589889,DIRECT FINANCE OF DIRECT GROUP (2006) LTD,,03-7215739,03-6282062,contact@5555.co.il
DISCOUNT BANK,Finance-Banks-Banks,691,520007030,Israel,www.investors.discountbank.co.il                  ,48111394,ISRAEL DISCOUNT BANK LTD.,,03-9439111,03-5171674,michal.sd@dbank.co.il
DISCOUNT INV.,Real-Real-Estate & Construction-Investment-Proerties In Israel,639,520023896,Israel,www.dic.co.il                                     ,1372296,DISCOUNT INVESTMENT CORP. LTD.,,03-6075888,03-6075889,investor.relations@dic.co.il
DISCOUNT MANPIK,Finance-Banks-Banks,748,520029935,Israel,,0,DISCOUNT MANPIKIM LTD,,076-8054499,03-5171674,naama.levi@dbank.co.il
DOR ALON,Real-Energy And Oil & Gas Exploration-Energy,1072,520043878,Israel,www.doralon.co.il,2923186,DOR ALON ENERGY IN ISRAEL (1988) LTD,,09-9618600,09-9514353,amir.listwand@doralon.co.il
DORAL ENERGY,High-Tech-Technology-Renewable Energy,1801,515364891,Israel,www.doral-energy.com/en                           ,11752212,DORAL GROUP RENEWABLE ENERGY RESOURCES LTD,,074-7876888,03-6111887,info@doral-energy.com
DORSEL HOLD,Real-Real-Estate & Construction-Investment-Proerties In Israel,2397,516597549,Israel,www.dorsel.co.il,522185,DORSEL HOLDINGS LTD,,074-7122880,,liors@dorsel.co.il
DUNIEC,Real-Real-Estate & Construction-Construction,400,520038605,Israel,www.dunietz.co.il,2494458,DUNIEC BROS. LTD.,,09-8638573,09-7734903,orly@dunietz.co.il
E&M,High-Tech-Technology-IT Services,382,520038514,Israel,www.emet.co.il                                    ,356637,E & M COMPUTING LTD.,,03-5766999,03-7513626,capitalmarket@emet.co.il
E.E.A.M.I-M,Real-Investment & Holdings-Inactive & Shell Companies,1823,514856772,Israel,,46333,E.E.A.M.I LTD,,03-6138686,03-6138585,asher@zamir-cpa.co.il
ECONERGY,High-Tech-Technology-Renewable Energy,1891,516339777,Israel,www.econergytech.com                              ,3875083,ECONERGY RENEWABLE ENERGY LTD.,,054-7680868,03-7770101,info@econergytech.com
EFFI CAP NADLAN,Real-Real-Estate & Construction-Construction,1979,513948216,Israel,www.efficapital.co.il,767465,EFFI CAPITAL NADLAN LTD,,03-6189001,03-6189002,info@efficapital.com
EL AL,Real-Commerce & Services-Services,1152,520017146,Israel,www.elal.co.il/en                                 ,10097116,EL AL ISRAEL AIRLINES LTD.,,03-9716202,03-9717334,corporate@elal.co.il
ELAD,High-Tech-Technology-IT Services,2463,510929177,Israel,,527069,ELAD SOFTWARE SYSTEMS LTD,,073-2330120,,office@elad.co.il
ELBIT IMAGING,Real-Real-Estate & Construction-Construction,1039,520043035,Israel,,93762,ELBIT IMAGING LTD.,,052-8370460,074-7446190,riki@elbitimaging.com
ELBIT SYSTEMS,High-Tech-Technology-Defence,1040,520043027,Israel,www.elbitsystems.com                              ,107923112,ELBIT SYSTEMS LTD.,,077-2945358,04-8316659,adi.pinchasconfino@elbitsystems.com
ELCO,Real-Investment & Holdings-Investment & Holdings,694,520025370,Israel,www.elco.co.il                                    ,4381470,ELCO LTD,,03-6939696,03-6939689,corpsecretary@elco.co.il
ELDAN TRANSPORT,Real-Commerce & Services-Services,1636,510454333,Israel,rent.eldan.co.il/en                               ,840060,ELDAN TRANSPORTATION LTD,,03-5654500,03-5654513,ron@eldan.co.il
ELECTRA,Real-Investment & Holdings-Investment & Holdings,739,520028911,Israel,www.electra.co.il/en                              ,8112400,ELECTRA LTD.,,03-7535676,03-7535677,corpsecretary@electra.co.il
ELECTRA CONSUME,Real-Commerce & Services-Retail,501,520039967,Israel,www.ecp.co.il/en                                  ,2196486,ELECTRA CONSUMER PRODUCTS (1970) LTD,,03-9530920,03-9612664,corpsecretary@ecp.co.il
ELECTRA REAL E.,Real-Real-Estate & Construction-Investment-Proerties Abroad,1264,510607328,Israel,www.electra-re.com                                ,3972435,ELECTRA REAL ESTATE LTD,,03-7101700,03-7101720,corpsecretary@ere.co.il
ELECTREON WIRE,High-Tech-Technology-Cleantech,368,520038126,Israel,www.electreon.com                                 ,822310,ELECTREON WIRELESS LTD,,055-5081093,03-7770101,barak.d@electreon.com
ELECTRIC CORP.,Real-Energy And Oil & Gas Exploration-Energy,600,520000472,Israel,www.iec.co.il/en                                  ,0,THE ISRAEL ELECTRIC CORP. LTD.,,076-8631555,072-3431804,ubz1d@iec.co.il
ELLA,Real-Real-Estate & Construction-Investment-Proerties In Israel,504,520040015,Israel,en.ella.co.il                                     ,0,ELLA R. CONSTRUCTION ENGINEERING AND INVESTMENTS LTD.,,02-6537133,02-6537134,nati@ella.co.il
ELLA DEPOSITS,Financial Instruments-Financial Instrument-Structured Bonds,1697,515666881,Israel,www.elladepo.co.il,0,ELLA DEPOSITS LTD,,03-6391474,03-7734007,frshlomi@elladepo.co.il
ELLOMAY CAPITAL,High-Tech-Technology-Renewable Energy,2101,520039868,Israel,www.ellomay.com                                   ,1107784,ELLOMAY CAPITAL LTD,,03-7971111,03-7971122,kaliaw@ellomay.com
ELMOR ELECTRIC,Real-Industry-Electrical,1704,511164907,Israel,www.el-mor.co.il/en                               ,840799,ELMOR ELECTRIC INSTALLATIONS & SERVICES (1986) LTD,,08-6789999,08-6712472,gal@el-mor.co.il
ELRON,High-Tech-Technology-Investments In High-Tech,749,520028036,Israel,www.elron.com                                     ,241860,ELRON VENTURES LTD,,03-6075555,03-6075556,info@elron.com
ELSPEC,Real-Industry-Electrical,1194,511297541,Israel,www.elspec-ltd.com                                ,99545,ELSPEC ENGINEERING LTD.,,04-6272470,04-6272465,hararyr@zahav.net.il
EMILIA DEVELOPM,Real-Investment & Holdings-Investment & Holdings,589,520014846,Israel,www.emilia.co.il/en                               ,812211,EMILIA DEVELOPMENT (O.F.G) LTD.,,03-7537777,04-8471171,kabalae@emilia.co.il
ENCORE,Real-Commerce & Services-Services,2352,2059088,Virgin Islands (US),,0,ENCORE OPPORTUNITIES LIMITED,,03-6089999,03-6089190,noa.regev@goldfarb.com
ENCORE PROP,Real-Real-Estate & Construction-Investment-Proerties Abroad,1683,1939883,Virgin Islands (UK),,0,"ENCORE PROPERTIES, LTD",,03-6089816,03-6089885,hod.mimun@goldfarb.com
ENERGEAN,Real-Energy And Oil & Gas Exploration-Oil & Gas Exploration,1762,10758801,England,www.energean.com                                  ,6951078,ENERGEAN PLC,,03-6715000,,akofman@energean.com
ENERGIX,High-Tech-Technology-Renewable Energy,1581,513901371,Israel,www.energix-group.com                             ,12765953,ENERGIX-RENEWABLE ENERGIES LTD,,03-5668855,03-5668822,sharon@energix-group.com
ENLIGHT ENERGY,High-Tech-Technology-Renewable Energy,720,520041146,Israel,www.enlightenergy.co.il                           ,29379933,ENLIGHT RENEWABLE ENERGY LTD.,,03-9008700,,helitm@enlightenergy.co.il
ENLIVEX,High-Tech-Biomed-Biotechnology,1780,514716489,Israel,www.enlivex.com                                   ,727114,ENLIVEX THERAPEUTICS LTD,,02-6208072,02-6208070,shachar@enlivexpharm.com
EPITOMEE,High-Tech-Biomed-Medical Devices,1998,513721803,Israel,www.epitomeemedical.com                           ,262027,EPITOMEE MEDICAL LTD,,074-7400799,04-8540519,office@epitomeemedical.com
EQUITAL,Real-Investment & Holdings-Investment & Holdings,755,520030859,Israel,,5591347,EQUITAL LTD.,,03-9229225,03-9229255,david.s@equital-group.com
ERECH FINANCE-M,Real-Investment & Holdings-Inactive & Shell Companies,1550,513947473,Israel,,5867,ERECH FINANCE CAHALACHA LTD,,073-2554444,073-2554433,erech@erech.co.il
ERIKA CARMEL,High-Tech-Biomed-Medical Devices,1920,514034123,Israel,www.bcurelaser.com                                ,21250,ERIKA CARMEL-TECH LTD,,052-6470032,04-6026880,gals@bcurelaser.co.il
ETGA GR0UP,Real-Commerce & Services-Services,1912,513764399,Israel,www.etga.co.il,639590,ETGA GROUP LTD,,03-6221875,03-5589397,tomera@etga.co.il
EVOGENE,High-Tech-Biomed-Biotechnology,1461,512838723,Israel,www.evogene.com                                   ,23914,EVOGENE LTD,,08-9311900,08-9466724,ofer.haviv@evogene.com
EXPORT INV.,Finance-Banks-Banks,704,520025156,Israel,,1057813,EXPORT INVESTMENT CO. LTD.,,03-5107476,03-5102786,lizzy@exportinvest.org
EXTELL LIMITED,Real-Real-Estate & Construction-Construction,1622,1811308,Virgin Islands (UK),www.extelldev.com                                 ,0,EXTELL LIMITED,,03-6111000,03-6133355,gbarnett@extelldev.com
FATTAL HOLDINGS,Real-Commerce & Services-Hotels & Tourism,1621,512607888,Israel,www.fattal-hotels.com                             ,10278821,FATTAL HOLDINGS (1998) LTD,,03-6081888,03-6081880,akas@fattal.co.il
FATTAL PROP,Real-Real-Estate & Construction-Investment-Proerties Abroad,1661,515328250,Israel,,0,FATTAL PROPERTIES (EUROPE)LTD,,03-6081888,03-6081880,pninabl@fattal.co.il
FEAT INVESTMENT,High-Tech-Technology-Foodtech,1850,540300522,Israel,,19082,FEAT FUND INVESTMENTS-LIMITED.PARTNERSHIP,,03-5493312,03-5402916,hyashar@featlp.com
FIBI BANK,Finance-Banks-Banks,593,520029083,Israel,www.fibi.co.il/en                                 ,28674325,FIRST INTERNATIONAL BANK OF ISRAEL LTD.,,03-5196223,03-5100316,mazkir@fibimail.co.il
FIBI HOLDINGS,Finance-Banks-Banks,763,520029026,Israel,,12504146,F.I.B.I. HOLDINGS LTD.,,03-6950649,03-6091753,kobi@fibiholdings.co.il
FIRE AND GAS,High-Tech-Technology-Electronics And Optics,1796,515615409,Israel,,223992,FIRE & GAS DETECTION TECHNOLOGIES LTD.,,03-9085085,,ocohen@flamegasdetection.com
FLYING SPARK-M,High-Tech-Technology-Foodtech,1868,515259307,Israel,www.flyingspark.com                               ,5021,FLYING SPARK LTD,,08-6339556,,hello@flyingspark.com
FMS,Real-Industry-Fashion & Clothing,315,520037284,Israel,www.fms.co.il                                     ,2390683,FMS ENTERPRISES MIGUN LTD,,03-9223206,03-9225427,fms@fms.co.il
FORESIGHT,High-Tech-Technology-Software And Internet,199,520036062,Israel,www.foresightauto.com                             ,19372,FORESIGHT AUTONOMOUS HOLDINGS LTD,,077-9709030,077-9709031,sivan@foresightauto.com
FORMULA,High-Tech-Technology-IT Services,256,520036690,Israel,www.formulasystems.com                            ,5854012,FORMULA SYSTEMS (1985) LTD.,,03-5389201,03-5389333,asafb@formula.co.il
FOX,Real-Commerce & Services-Retail,1140,512157603,Israel,www.foxgroup.co.il                                ,3958640,FOX-WIZEL LTD.,,03-9050100,03-9050200,shahar@fox.co.il
FRIDENSON,Real-Commerce & Services-Services,1403,510712466,Israel,en.fridenson.co.il                                ,116805,FRIDENSON LOGISTIC SERVICES LTD,,04-8416266,04-8418864,asaf@fridenson.co.il
G 1 SECU. SOLUT,Real-Commerce & Services-Services,1765,510095987,Israel,www.g1-group.com/about-us-en                      ,917915,G 1 SECURE SOLUTIONS LTD.,,03-6899224,03-6396637,sharon.bolandi@g1-group.com
G CITY,Real-Real-Estate & Construction-Investment-Proerties Abroad,126,520033234,Israel,www.gazitglobe.com                                ,1460223,G CITY LTD,,03-6948000,03-6961910,irgg@gazitgroup.com
G T,Real-Real-Estate & Construction-Investment-Proerties In Israel,2480,515763894,Israel,,0,G T REAL ESTATE LTD,,074-7680330,,eyal@trabelsi.biz
G.F.C GREEN,Real-Investment & Holdings-Inactive & Shell Companies,1568,514403120,Israel,,149962,G.F.C GREEN FIELDS CAPITAL LTD,,03-5689000,03-5689001,asher@zamir-cpa.co.il
G.P. GLOBAL-M,Real-Energy And Oil & Gas Exploration-Energy,1731,512821216,Israel,www.global-power.co.il/en                         ,255513,G.P. GLOBAL POWER LTD,,03-7588830,03-5324132,ronen@global-power.co.il
G.S.E DEPOSITS,Financial Instruments-Financial Instrument-Structured Bonds,2427,516816451,Israel,,0,G.S.E DEPOSITS LTD,,03-5213000,,noam@n-r-law.co.il
GABAY GROUP,Real-Real-Estate & Construction-Construction,2483,513609131,Israel,,0,"GABAY GROUP-CONSTRUCTION,DEVELOPMENT,MANAGMENT AND REAL",,03-5612055,03-6011550,oshri@gabaygroup.com
GABAY PROPERT,Real-Real-Estate & Construction-Construction,771,520032178,Israel,,0,GABAY PROPERTIES AND DEVELOPMENT LTD,,03-7655000,03-7655056,ronen@gabaymenivim.co.il
GAD DAIRIES,Real-Industry-Food,2509,511749574,Israel,,1219050,GAD DAIRIES MARKETING 1992 LTD,,03-5550222,,baruchs@gad-dairy.co.il
GAMA MANAGEMENT,Finance-Financial Services-Financial Services,1510,512711789,Israel,www.gamaf.co.il,0,GAMA MANAGEMENT AND CLEARING LTD,,03-6162939,03-6162941,jacobge@gamaf.co.il
GAN SHMUEL,Real-Industry-Food,532,520039934,Israel,www.ganshmuel.com                                 ,486360,GAN SHMUEL FOODS LTD.,,04-6320039,04-6320032,shoshig@ganshmuel.com
GAON GROUP,Real-Industry-Metal & Building Products,454,520025016,Israel,www.gaon.com/en                                   ,376286,GAON GROUP LTD.,,03-7954100,03-7954103,info@gaon.com
GAS LINES-INGL,Real-Commerce & Services-Services,1418,513436394,Israel,www.ingl.co.il/?lang=en                           ,0,ISRAEL NATURAL GAS LINES COMPANY LTD.,,03-6270400,03-5611320,frangi@ingl.co.il
GAV YAM,Real-Real-Estate & Construction-Investment-Proerties In Israel,759,520001736,Israel,www.gav-yam.co.il/en                              ,9263104,GAV-YAM LANDS CORP.LTD,,04-6644200,04-8533567,info@gav-yam.co.il
GEFFEN R&R,Real-Real-Estate & Construction-Construction,1532,512781386,Israel,,267243,GEFFEN RESIDENCE & RENEWAL LTD,,  08-9194464,  08-8523524,elad@geffenltd.co.il
GENCELL,High-Tech-Technology-Cleantech,1820,514579887,Israel,www.gencellenergy.com                             ,62612,GENCELL LTD,,03-7261616,03-7261617,info@gencellenergy.com
GENERATION CAPI,Real-Investment & Holdings-Investment & Holdings,1769,515846558,Israel,www.generationcapital.co.il/en                    ,2994309,GENERATION CAPITAL LTD,,072-2758900,072-2758900,generationir@generation.co.il
GESHEM,Real-Real-Estate & Construction-Construction,2440,515541415,Israel,,0,GESHEM LMISHTAKEN,,073-3679195,073-3672167,valeria@gl-re.co.il
GFI,Real-Real-Estate & Construction-Investment-Proerties Abroad,1639,1852623,Virgin Islands (UK),www.gficap.com                                    ,0,GFI REAL ESTATE LIMITED,,03-6089999,03-6089909,investorrelation@gficap.com
GIBUI HOLDINGS,Finance-Financial Services-Non Banking Credit,448,520039314,Israel,,8380,GIBUI HOLDINGS LTD.,,03-5107460,03-5107459,info@hosen-g.co.il
GILAD DEPOSITS,Financial Instruments-Financial Instrument-Structured Bonds,1736,515742930,Israel,www.elladepo.co.il,0,GILAD DEPOSITS LTD,,03-6391474,03-7734007,frshlomi@elladepo.co.il
GILAD MAY,Real-Real-Estate & Construction-Construction,1905,513177345,Israel,www.giladmay.co.il,0,"GILAD MAY INVESTMENTS,CONSTRUCTION&DEVELOPMENT",,09-9500813,09-7720288,law@giladmay.co.il
GILAT,High-Tech-Technology-Communications Equipment,2030,520038936,Israel,www.gilat.com                                     ,3397534,GILAT SATELLITE NETWORKS LTD.,,03-9252003,03-9252945,doronke@gilat.com
GILAT TELECOM,Real-Commerce & Services-Communications & Media,1006,520041674,Israel,www.gilat.net                                     ,170552,GILAT TELECOM GLOBAL LTD,,050-2029021,03-9255156,amib@gilat.net
GINEGAR,"Real-Industry-Chemical, Rubber & Plastic",1301,512416991,Israel,www.ginegar.com                                   ,127252,GINEGAR PLASTIC PRODUCTS LTD.,,04-6544222,04-6544211,gpp@ginegar.co.il
GIRON DEVELOP.,Real-Real-Estate & Construction-Investment-Proerties In Israel,1130,520044520,Israel,,0,GIRON DEVELOPMENT AND BUILDING LTD.,,09-7744111,09-7744114,info@giron.co.il
GIVOT,Real-Energy And Oil & Gas Exploration-Oil & Gas Exploration,506,550013189,Israel,www.givot.co.il/index.aspx?l=2                    ,79556,GIVOT OLAM OIL EXPLORATION-LIMITED PARTNERSHIP(1993),,073-3946040,073-3946041,givot@givot.co.il
GIX INTERNET,High-Tech-Technology-Software And Internet,744,520040262,Israel,www.gix-internet.com                              ,56795,GIX INTERNET LTD,,09-7741505,09-7741534,amihay@gix-internet.com
GLOBAL KNAFAIM,Real-Commerce & Services-Services,1559,513342444,Israel,www.gkl-leasing.com/en                            ,126731,GLOBAL KNAFAIM LEASING LTD,,03-6539999,03-6539977,knafaim@knafaim.co.il
GLOBAL PAY-M,Finance-Financial Services-Non Banking Credit,1070,520043001,Israel,www.globalpay.co.il,17519,GLOBAL PAY (P.C.S) LTD,,03-5257777,03-5257777,contact@pcsglobal.co.il
GLOBE ENERGY-M,Real-Energy And Oil & Gas Exploration-Oil & Gas Exploration,1548,550235295,Israel,www.goe.co.il                                     ,1068,GLOBE ENERGY RESOURES Y.C.D LIMITED PARNERSHIP,,03-6141856,03-6141857,contact@globe-er.com
GLOBRANDS GROUP,Real-Commerce & Services-Commerce,1741,515809499,Israel,www.globrands.co.il/en                            ,356268,GLOBRANDS GROUP LTD,,03-9483535,09-8336378,office@globrands.co.il
GOLAN INDUS,"Real-Industry-Chemical, Rubber & Plastic",1226,513029975,Israel,www.golanplastic.com,308087,GOLAN RENEWABLE INDUSTRIES LTD.,,077-9021000,077-9021010,golan@golan-plastic.com
GOLD,Real-Commerce & Services-Services,149,520034349,Israel,www.goldbond.co.il/?lang=en                       ,899716,THE GOLD BOND GROUP LTD.,,08-8547002,08-8523404,conterm@conterm.co.il
GOLDEN ENERGY,High-Tech-Technology-Cleantech,2156,520044264,Israel,www.qd-sol.com                                    ,68571,GOLDEN ENERGY POWER LTD,,03-3742282,03-3742282,info@qd-sol.com
GOLDEN HOUSE,Real-Real-Estate & Construction-Investment-Proerties In Israel,235,520034562,Israel,www.golden-house.co.il,162459,GOLDEN HOUSE LTD.,,03-6300888,03-6300700,sec@golden-house.co.il
GOLF,Real-Commerce & Services-Retail,1310,510289564,Israel,www.golfgroup.co.il/about                         ,288833,GOLF & CO GROUP LTD,,077-6047006,09-7690951,rami@golfco.co.il
GOTO,Real-Commerce & Services-Services,1939,516286887,Israel,www.gotoglobal.com/en/goto-israel                 ,27732,GOTO LTD,,072-2605012,,info.il@gotoglobal.com
GRACE BREEDING,High-Tech-Biomed-Biotechnology,1997,515254902,Israel,www.gracebreeding.com                             ,73285,GRACE BREEDING LTD,,052-6942992,,office@gracebreeding.com
GREYSTONE,Finance-Financial Services-Non Banking Credit,2453,2149898,Virgin Islands (UK),,0,GREYSTONE SENIOR DEBT BI LTD,,054-4216701,,ghazi.jaljoly@goldfarb.com
GROUP 107,High-Tech-Technology-Software And Internet,1960,516199445,Israel,www.group107.com                                  ,24002,GROUP 107 LTD,,03-7208200,03-7207953,contact@group107.com
HACHSHARA INSUR,Finance-Insurance-Insurance,1187,520042177,Israel,www.hcsra.co.il,0,HACHSHARA INSURANCE COMPANY LTD,,03-7962624,03-7967412,sagik@hcsra.co.il
HADASIT BIO-M,Real-Investment & Holdings-Inactive & Shell Companies,1294,513734590,Israel,www.hbl.co.il                                     ,4236,HBL - HADASIT BIO HOLDINGS LTD,,03-5670100,03-5670101,info@hbl.co.il
HAGAG EUROPE,Real-Real-Estate & Construction-Construction,1722,515682292,Israel,www.hagag-europe.com,858380,HAGAG EUROPE DEVELOPMENT Z.F.LTD,,03-5086802,077-3181752,alex@hagag-europe.com
HAGAG REAL EST,Real-Real-Estate & Construction-Construction,823,520033309,Israel,www.hagag-group.co.il/en/home                     ,1586361,HAGAG GROUP REAL ESTATE ENTREPRENEURSHIP LTD,,03-6081936,03-6952958,office@hagag-group.co.il
HAMAMA,Real-Commerce & Services-Commerce,1453,512398017,Israel,hamama.biz                                        ,86213,HAMAMA MEIR TRADING (1996) LTD.,,03-5195555,03-5107010,baruch.h@hamama.biz
HAMASHBIR 365,Real-Commerce & Services-Retail,1459,513389270,Israel,www.mashbir.co.il,201078,HAMASHBIR 365 LTD,,09-8926846,09-8926622,elia@m365mail.co.il
HAMAT,Real-Industry-Metal & Building Products,384,520038530,Israel,www.hamat.co.il/en/                               ,685240,HAMAT GROUP LTD.,,08-8513817,08-8562679,yairl@hamat.co.il
HAREL EXCH DEPO,Financial Instruments-Financial Instrument-Structured Bonds,1781,515989440,Israel,,0,HAREL EXCHANGE TRADED DEPOSIT LTD,,03-7546060,03-7546311,ofiro@harel-finance.co.il
HAREL INTERESTS,Financial Instruments-Financial Instrument-Structured Bonds,2457,516561875,Israel,,0,HAREL INTERESTS AND DEPOSITS LTD,,03-7546060,03-7546311,nofarbena@harel-finance.co.il
HAREL INVEST,Finance-Insurance-Insurance,585,520033986,Israel,www.harel-group.com                               ,34656710,HAREL INSURANCE INVESTMENTS & FINANCIAL SERVICES LTD.,,03-7547090,03-7547100,giladsh@harel-ins.co.il
HAREL ISSUES,Finance-Insurance-Insurance,1367,513834200,Israel,,0,HAREL INSURANCE FINANCE AND ISSUES LTD,,03-7547090,03-7547100,giladsh@harel-ins.co.il
HILAN,High-Tech-Technology-IT Services,1110,520039942,Israel,www.hilan.co.il/en                                ,4856606,HILAN LTD.,,03-6383333,03-6870088,baum@hilan.co.il
HILLA OFFICES,Real-Real-Estate & Construction-Investment-Proerties In Israel,1830,515164143,Israel,www.hillagroup.com,0,HILLA OFFICES TOWERS LTD,,09-9500025,09-9500026,reut@hillagroup.com
HIPER,High-Tech-Technology-IT Services,2369,516476835,Israel,www.hiper-global.com                              ,1207273,HIPER GLOBAL LTD,,03-9109105,03-9109106,capitalmarket@hiper-global.com
HIRON,Real-Real-Estate & Construction-Investment-Proerties In Israel,150,520034216,Israel,,1377306,HIRON-TRADE INVESTMENTS & INDUSTRIAL BUILDINGS LTD.,,03-6823665,03-6824165,yosi@hiron.co.il
HIVE 2040 R&D,High-Tech-Technology-Investments In High-Tech,1885,540303195,Israel,www.hive2040.com                                  ,4016,HIVE 2040 R&D LIMITED PARTNERSHIP,,03-6914564,03-6914567,laiza@avnongroup.com
HOD-ASSAF,Real-Industry-Metal & Building Products,351,520038449,Israel,www.hodmetal.co.il/en                             ,533531,HOD-ASSAF INDUSTRIES LTD.,,04-9015000,04-9552230,naorb@hodindustry.co.il
HOLMES PLACE,Real-Commerce & Services-Services,1706,512466723,Israel,www.holmesplace.co.il,676062,HOLMES PLACE INTERNATIONAL LTD,,09-7778800,09-7778824,shimshi@holmesplace.co.il
HOMEBIOGAS,High-Tech-Technology-Cleantech,1845,514739325,Israel,www.homebiogas.com                                ,24086,HOMEBIOGAS LTD,,077-9300416,077-4704868,yossihatan@homebiogas.com
HUMAN XTENSIO-M,Real-Investment & Holdings-Inactive & Shell Companies,1825,514707736,Israel,www.human-x.com                                   ,5860,HUMAN XTENSIONS LTD,,054-2281433,,asaf@human-x.com
I.B.I DEPO,Financial Instruments-Financial Instrument-Structured Bonds,2467,517071767,Israel,,0,I.B.I DEPOSITS BONDS,,052-5690594,,dani@dbu-finance.com
I.D.I INSURANCE,Finance-Insurance-Insurance,1608,513910703,Israel,www.555.co.il,3637334,I.D.I. INSURANCE COMPANY LTD,,03-5654021,03-5627257,pniot@yashir.co.il
I.D.I ISSUES,Finance-Insurance-Insurance,1566,514486042,Israel,,0,I.D.I ISSUES LTD,,03-5654021,03-5627257,pniot@yashir.co.il
I.S.A,Real-Real-Estate & Construction-Construction,2524,514481233,Israel,,0,I.S.A HOLDINGS LTD,,02-6447113,,office@isa-grp.com
IARGENTO,High-Tech-Technology-Investments In High-Tech,1842,540299351,Israel,www.iargento.com                                  ,6421,"IARGENTO HI TECH ASSETS, LIMITED PARTNERSHIP",,02-5853159,02-5853159,office@iargento.com
IBI INV HOUSE,Finance-Financial Services-Financial Services,175,520034356,Israel,www.ibi.co.il/en                                  ,5448784,I.B.I INVESTMENT HOUSE LTD,,03-5193444,03-5175411,dror@ibi.co.il
IBI TECH-FUND,High-Tech-Technology-High-Tech Funds,1715,,Israel,,350524,I.B.I. (5D) TECH FUND-HIGH TECHNOLOGY,,03-5193445,03-5193440,ori_b@ibi.co.il
IBI UNDERWRIT,Finance-Financial Services-Financial Services,1106,511819617,Israel,www.ibiui.co.il                                   ,395982,I.B.I.-MANAGING & UNDERWRITING LTD,,03-5193414,03-5175414,hitum@ibi.co.il
IC HOTELS,Real-Commerce & Services-Hotels & Tourism,1435,513600056,Israel,https://ichotels.co.il,1001615,ISRAEL CANADA HOTELS LTD,,076-5319200,,elad.kr@ichotels.co.il
